"X2","neutered","Actinomycetaceae","X0"
3,"neutered","Bacteroidaceae",0.375
4,"neutered","Bifidobacteriaceae",0.535714285714286
5,"neutered","Campylobacteraceae",0.28125
6,"neutered","Christensenellaceae",0
7,"neutered","Clostridiaceae_1",6.625
8,"neutered","Clostridiaceae_4",0
9,"neutered","Clostridiales_Incertae_Sedis_XIII",0
10,"neutered","Coriobacteriaceae",2.63911290322581
11,"neutered","Desulfovibrionaceae",0
12,"neutered","Enterobacteriaceae",0.9375
13,"neutered","Enterococcaceae",4.53125
14,"neutered","Erysipelotrichaceae",2.58582949308756
15,"neutered","Fusobacteriaceae",0.1375
16,"neutered","Lachnospiraceae",1.99621212121212
17,"neutered","Peptococcaceae_1",1.0625
18,"neutered","Peptostreptococcaceae",11.8470670391061
19,"neutered","Porphyromonadaceae",0.196969696969697
20,"neutered","Prevotellaceae",1.69102822580645
21,"neutered","Rikenellaceae",0.160714285714286
22,"neutered","Ruminococcaceae",0.74660751565762
23,"neutered","Streptococcaceae",3.11111111111111
24,"neutered","Succinivibrionaceae",4.88851351351351
25,"neutered","Sutterellaceae",0.443548387096774
26,"neutered","Synergistaceae",0
27,"neutered","Veillonellaceae",2.34005376344086
28,"obese","Acidaminococcaceae",1.87019230769231
29,"obese","Actinomycetaceae",0
30,"obese","Bacteroidaceae",1.48406862745098
31,"obese","Bifidobacteriaceae",1.65625
32,"obese","Campylobacteraceae",0.296875
33,"obese","Christensenellaceae",0.375
34,"obese","Clostridiaceae_1",4.89318181818182
35,"obese","Clostridiaceae_4",1.25
36,"obese","Clostridiales_Incertae_Sedis_XIII",1.59615384615385
37,"obese","Coriobacteriaceae",5.81552419354839
38,"obese","Desulfovibrionaceae",1
39,"obese","Enterobacteriaceae",0
40,"obese","Enterococcaceae",0.5625
41,"obese","Erysipelotrichaceae",1.71889400921659
42,"obese","Fusobacteriaceae",0.8
43,"obese","Lachnospiraceae",1.46614583333333
44,"obese","Peptococcaceae_1",0.3125
45,"obese","Peptostreptococcaceae",3.09217877094972
46,"obese","Porphyromonadaceae",0.810606060606061
47,"obese","Prevotellaceae",7.3039314516129
48,"obese","Rikenellaceae",1.45833333333333
49,"obese","Ruminococcaceae",1.0151356993737
50,"obese","Streptococcaceae",3.69444444444444
51,"obese","Succinivibrionaceae",3.59121621621622
52,"obese","Sutterellaceae",2.54838709677419
53,"obese","Synergistaceae",5.8125
54,"obese","Veillonellaceae",5.61424731182796
55,"Obese after weight loss","Acidaminococcaceae",0.838942307692308
56,"Obese after weight loss","Actinomycetaceae",0.875
57,"Obese after weight loss","Bacteroidaceae",1.59313725490196
58,"Obese after weight loss","Bifidobacteriaceae",0.59375
59,"Obese after weight loss","Campylobacteraceae",0.546875
60,"Obese after weight loss","Christensenellaceae",0
61,"Obese after weight loss","Clostridiaceae_1",1.17272727272727
62,"Obese after weight loss","Clostridiaceae_4",0
63,"Obese after weight loss","Clostridiales_Incertae_Sedis_XIII",0.528846153846154
64,"Obese after weight loss","Coriobacteriaceae",6.80443548387097
65,"Obese after weight loss","Desulfovibrionaceae",0.8125
66,"Obese after weight loss","Enterobacteriaceae",0.3125
67,"Obese after weight loss","Enterococcaceae",1.6875
68,"Obese after weight loss","Erysipelotrichaceae",1.41301843317972
69,"Obese after weight loss","Fusobacteriaceae",1.15
70,"Obese after weight loss","Lachnospiraceae",1.97916666666667
71,"Obese after weight loss","Peptococcaceae_1",1
72,"Obese after weight loss","Peptostreptococcaceae",4.09846368715084
73,"Obese after weight loss","Porphyromonadaceae",1.30681818181818
74,"Obese after weight loss","Prevotellaceae",8.56300403225806
75,"Obese after weight loss","Rikenellaceae",1.125
76,"Obese after weight loss","Ruminococcaceae",1.44180584551148
77,"Obese after weight loss","Streptococcaceae",0.291666666666667
78,"Obese after weight loss","Succinivibrionaceae",5.41216216216216
79,"Obese after weight loss","Sutterellaceae",3.89112903225806
80,"Obese after weight loss","Synergistaceae",2.625
81,"Obese after weight loss","Veillonellaceae",5.58064516129032
